Judul;Description;Tags
Bergaya dengan Jumputan Motif Cengkeh;Tidak seperti pada batik lainnya yang dibuat dengan menggunakan malam ataupun dicap, Batik Jumputan merupakan batik yang diberi corak tertentu dengan menggunakan alat sejenis pengikat dan biji-bijian.Ê;Batik Solo
;;Smart CasualÊ
;Motif dari Batik Jumputan memiliki variasi yang unik karena terpengaruh dari teknik pembuatannya. Salah satu motif Batik Jumputan yang umum ditemui adalah Motif Cengkeh yang dibuat dengan mengikat beberapa bagian pada kain.Ê;
Cowo Mamba Berkain Batik Parang;Batik Parang merupakan salah satu motif tertua di Indonesia yang banyak ditemukan di daerah Solo dan Yogyakarta. Nama ÒParangÓ berasal dari kata ÒPerengÓ yang artinya lereng.Ê;Formal
;;Batik Solo
;Batik parang lereng memiliki makna tidak mudah menyerah yang dapat dilihat dari motifnya yang menyerupai ombak laut yang tidak berhenti bergerak.;Batik Yogyakarta
Gaya Casual dengan Batik Kawung;Batik Kawung mencerminkan makna dari kesucian, kemurnian, dan kesempurnaan. Motif pada Batik Kawung terinspirasi dari sebuah kumbang dengan nama latin Oryctes Rhinoceros atau dalam bahasa Jawa lebih dikenal dengan nama Kumbang Kwangwung.Ê;Casual
;;Batik Yogyakarta
;Batik Kawung terbagi atas beberapa pola, salah satunya disebut dengan Batik Kawung Semar yang terdiri dari pola utama berbentuk empat bulatan lonjong dengan ukuran besar yang menyerupai biji buah nangka dan dipadukan dengan pola bulatan lonjong berukuran lebih kecil pada bagian dalam.;
Berkain dengan Batik Tumpal;Batik Tumpal mempunyai bentuk dasar segitiga sama kaki. Motif tumpal ini merupakan hasil inspirasi dari budaya India.;CasualÊ
;;Batik Yogyakarta
;Makna filosofi motif tumpal oleh masyarakat pendukungnya digunakan sebagai penolak bala, karena gambar segitiga runcing yang dilambangkan sebagai gigi buaya.;Batik SoloÊ
;;Batik Pekalongan
OOTD Cantik menggunakan Batik Lasem;Batik Lasem merupakan salah satu jenis kain batik pesisiran yang merupakan hasil silang budaya dari batik lokal yang diilhami oleh ide batik keraton dan serapan unsur-unsur budaya asing. Motif dari Batik Lasem tentunya beragam dan salah satunya adalah motif Kricak (Watu Pecah) atau dalam bahasa Indonesia disebut dengan motif batu pecah.;Batik Solo
;;Smart CasualÊ
;Motif ini berasal dari sejarah pada masa Gubernur Jenderal Herman Willem Daendels abad ke-18, di mana pada saat itu masyarakat Lasem harus menjadi buruh yang tidak dibayar. Buruh tersebut diharuskan memecah batu menjadi Kricak sebagai bahan pengeras jalan.;
Menampilkan Gaya Casual dengan Batik Madura;"Batik Madura memiliki ciri khas motif yang sederhana dan geometris, dengan warna-warna cerah. Awalnya dikenal dengan sebutan ""Batik Mogok"" karena motifnya hanya terdiri dari titik-titik kecil yang dibuat dengan menggunakan alat khusus yang disebut ""Canting Mogok"".Ê";Casual
;;Batik Madura
